number of characters,length of case,case,expected value
11,3,[ 3. 10.  3.],1342.0
11,3,[ 3. 10.  4.],1331.0
11,3,[ 3. 10.  5.],1331.0
11,3,[ 3. 10.  6.],1331.0
11,3,[ 3. 10.  7.],1331.0
11,3,[ 3. 10.  8.],1331.0
11,3,[ 3. 10.  9.],1331.0
11,3,[ 3. 10. 10.],1331.0
11,3,[4. 0. 0.],1331.0
11,3,[4. 0. 1.],1331.0
11,3,[4. 0. 2.],1331.0
11,3,[4. 0. 3.],1331.0
11,3,[4. 0. 4.],1342.0
11,3,[4. 0. 5.],1331.0
11,3,[4. 0. 6.],1331.0
11,3,[4. 0. 7.],1331.0
11,3,[4. 0. 8.],1331.0
11,3,[4. 0. 9.],1331.0
11,3,[ 4.  0. 10.],1331.0
11,3,[4. 1. 0.],1331.0
11,3,[4. 1. 1.],1331.0
11,3,[4. 1. 2.],1331.0
11,3,[4. 1. 3.],1331.0
11,3,[4. 1. 4.],1342.0
11,3,[4. 1. 5.],1331.0
11,3,[4. 1. 6.],1331.0
11,3,[4. 1. 7.],1331.0
11,3,[4. 1. 8.],1331.0
11,3,[4. 1. 9.],1331.0
11,3,[ 4.  1. 10.],1331.0
11,3,[4. 2. 0.],1331.0
11,3,[4. 2. 1.],1331.0
11,3,[4. 2. 2.],1331.0
11,3,[4. 2. 3.],1331.0
11,3,[4. 2. 4.],1342.0
11,3,[4. 2. 5.],1331.0
11,3,[4. 2. 6.],1331.0
11,3,[4. 2. 7.],1331.0
11,3,[4. 2. 8.],1331.0
11,3,[4. 2. 9.],1331.0
11,3,[ 4.  2. 10.],1331.0
11,3,[4. 3. 0.],1331.0
11,3,[4. 3. 1.],1331.0
11,3,[4. 3. 2.],1331.0
11,3,[4. 3. 3.],1331.0
11,3,[4. 3. 4.],1342.0
11,3,[4. 3. 5.],1331.0
11,3,[4. 3. 6.],1331.0
11,3,[4. 3. 7.],1331.0
11,3,[4. 3. 8.],1331.0
11,3,[4. 3. 9.],1331.0
11,3,[ 4.  3. 10.],1331.0
11,3,[4. 4. 0.],1342.0
11,3,[4. 4. 1.],1342.0
11,3,[4. 4. 2.],1342.0
11,3,[4. 4. 3.],1342.0
11,3,[4. 4. 4.],1463.0
11,3,[4. 4. 5.],1342.0
11,3,[4. 4. 6.],1342.0
11,3,[4. 4. 7.],1342.0
11,3,[4. 4. 8.],1342.0
11,3,[4. 4. 9.],1342.0
11,3,[ 4.  4. 10.],1342.0
11,3,[4. 5. 0.],1331.0
11,3,[4. 5. 1.],1331.0
11,3,[4. 5. 2.],1331.0
11,3,[4. 5. 3.],1331.0
11,3,[4. 5. 4.],1342.0
11,3,[4. 5. 5.],1331.0
11,3,[4. 5. 6.],1331.0
11,3,[4. 5. 7.],1331.0
11,3,[4. 5. 8.],1331.0
11,3,[4. 5. 9.],1331.0
11,3,[ 4.  5. 10.],1331.0
11,3,[4. 6. 0.],1331.0
11,3,[4. 6. 1.],1331.0
11,3,[4. 6. 2.],1331.0
11,3,[4. 6. 3.],1331.0
11,3,[4. 6. 4.],1342.0
11,3,[4. 6. 5.],1331.0
11,3,[4. 6. 6.],1331.0
11,3,[4. 6. 7.],1331.0
11,3,[4. 6. 8.],1331.0
11,3,[4. 6. 9.],1331.0
11,3,[ 4.  6. 10.],1331.0
11,3,[4. 7. 0.],1331.0
11,3,[4. 7. 1.],1331.0
11,3,[4. 7. 2.],1331.0
11,3,[4. 7. 3.],1331.0
11,3,[4. 7. 4.],1342.0
11,3,[4. 7. 5.],1331.0
